銘柄コード,銘柄名,終値,RSI,MACD,Signal,判定,反発確度スコア
6503.T,三菱電機,5669.0,39.4,-85.12,-84.777,判定なし,10
6504.T,富士電機,12985.0,42.6,-320.735,-366.995,判定なし,20
6506.T,安川電機,5257.0,20.4,-454.962,-331.227,判定なし,20
6586.T,マキタ,5860.0,43.1,-0.949,-2.736,判定なし,20
6645.T,オムロン,5650.0,37.1,-73.59,-48.904,判定なし,10
6674.T,ジャパンディスプレイ,5793.0,28.6,-219.316,-187.809,判定なし,20
6723.T,ルネサスエレクトロニクス,3866.0,30.2,-145.722,-54.311,判定なし,10
6752.T,パナソニックHD,3886.0,27.1,-43.792,40.108,判定なし,20
6754.T,アンリツ,3908.0,40.2,-100.377,-81.189,判定なし,0
6762.T,TDK,3012.0,26.8,-153.9,-122.046,判定なし,20
6770.T,アルプスアルパイン,2235.5,64.8,16.023,0.221,ボックス上限タッチ（天井候補）,20
6841.T,横河電機,6022.0,55.7,115.371,91.367,ボックス上限タッチ（天井候補）,20
6857.T,アドバンテスト,28380.0,46.7,-51.303,122.101,判定なし,0
6954.T,ファナック,6785.0,38.0,-151.963,-135.307,判定なし,10
6971.T,京セラ,3796.0,45.9,44.765,51.379,判定なし,0
7011.T,三菱重工業,3891.0,38.3,16.986,-1.048,判定なし,30
7012.T,川崎重工業,2734.5,33.0,-59.614,-66.553,判定なし,30
7201.T,日産自動車,332.9,58.3,0.2,-3.32,判定なし,20
7267.T,ホンダ,1583.0,47.4,31.0,30.293,判定なし,20
7270.T,SUBARU,2663.5,58.5,35.2,21.787,ボックス上限タッチ（天井候補）,20
7731.T,ニコン,2198.5,46.5,32.34,44.236,25MAタッチ（反発候補）,30
7733.T,オリンパス,1813.5,57.3,11.201,9.665,ボックス上限タッチ（天井候補）,20
7751.T,キヤノン,4750.0,82.6,101.262,67.973,ボックス上限タッチ（天井候補）,20
8031.T,三井物産,4975.0,67.5,20.936,-42.748,ボックス上限タッチ（天井候補）,20
8113.T,ユニ・チャーム,992.9,51.0,10.562,10.648,ボックス上限タッチ（天井候補）,0
8267.T,イオン,1378.0,37.5,-8.885,-6.763,25MAタッチ（反発候補）,40
8308.T,りそなHD,2393.5,61.5,54.751,55.387,判定なし,0
8411.T,みずほフィナンシャルグループ,8631.0,60.1,234.321,220.661,判定なし,20
8591.T,オリックス,6673.0,59.7,107.758,97.314,ボックス上限タッチ（天井候補）,20
8769.T,アドバンスクリエイト,516.0,48.5,6.33,5.429,判定なし,20
8802.T,三菱地所,4098.0,43.0,-5.425,11.991,25MAタッチ（反発候補）,30
9020.T,JR東日本,3756.0,72.1,59.665,41.329,ボックス上限タッチ（天井候補）,20
9022.T,JR東海,4023.0,81.5,113.289,79.021,ボックス上限タッチ（天井候補）,20
9021.T,JR西日本,3075.0,71.0,81.39,75.361,ボックス上限タッチ（天井候補）,20
AAPL,Apple,333.0,67.7,8.452,7.546,ボックス上限タッチ（天井候補）,20
MSFT,Microsoft,381.7,46.6,-1.102,-1.538,25MAタッチ（反発候補）,50
AMZN,Amazon,232.1,37.3,-1.501,-0.486,判定なし,10
NVDA,NVIDIA,206.8,59.6,0.859,0.099,判定なし,20
META,Meta Platforms,595.2,48.8,7.891,12.404,判定なし,0
GOOGL,Alphabet Class A,319.7,26.5,-8.074,-4.265,判定なし,20
GOOG,Alphabet Class C,319.1,26.4,-7.489,-3.869,判定なし,20
TSLA,Tesla,313.0,15.7,-16.102,-7.736,判定なし,20
UNH,UnitedHealth Group,420.7,51.6,5.954,7.665,25MAタッチ（反発候補）,30
XOM,Exxon Mobil,156.9,84.0,3.014,0.909,判定なし,20
JNJ,Johnson & Johnson,263.4,53.7,4.077,4.413,判定なし,0
JPM,JPMorgan Chase,353.2,64.7,7.524,7.025,ボックス上限タッチ（天井候補）,20
V,Visa,355.7,48.6,6.088,7.138,判定なし,0
PG,Procter & Gamble,147.4,48.5,0.194,0.398,25MAタッチ（反発候補）,30
MA,Mastercard,539.7,54.2,9.866,10.678,判定なし,0
HD,Home Depot,333.0,37.4,-0.073,2.409,判定なし,10
CVX,Chevron,194.8,92.1,3.906,1.517,判定なし,20
MRK,Merck,131.1,57.7,2.22,1.987,ボックス上限タッチ（天井候補）,20
ABBV,AbbVie,259.4,59.4,6.876,7.133,ボックス上限タッチ（天井候補）,0
PEP,PepsiCo,136.6,36.7,-1.997,-1.903,判定なし,10
KO,Coca-Cola,82.2,47.6,0.32,0.602,25MAタッチ（反発候補）,30
AVGO,Broadcom,381.9,53.2,-1.711,-3.294,25MAタッチ（反発候補）,50
COST,Costco,935.0,44.8,-9.49,-11.632,25MAタッチ（反発候補）,50
WMT,Walmart,109.5,46.8,-2.131,-1.987,判定なし,0
BAC,Bank of America,62.0,62.3,1.545,1.581,ボックス上限タッチ（天井候補）,0
DIS,Disney,94.8,41.6,-1.186,-1.02,判定なし,0
MCD,McDonald's,264.8,32.1,-3.574,-2.828,判定なし,10
CSCO,Cisco Systems,114.2,50.3,-0.932,-0.606,判定なし,0
PFE,Pfizer,24.5,70.7,-0.028,-0.151,判定なし,20
TMO,Thermo Fisher Scientific,568.3,72.4,16.863,14.24,判定なし,20
ACN,Accenture,147.0,61.4,-2.07,-4.286,ボックス上限タッチ（天井候補）,20
DHR,Danaher,191.5,48.3,1.431,3.135,25MAタッチ（反発候補）,30
LIN,Linde,512.3,29.6,-2.016,0.531,判定なし,20
WFC,Wells Fargo,86.3,45.9,1.092,1.391,25MAタッチ（反発候補）,30
TXN,Texas Instruments,279.6,37.3,-3.546,-1.382,判定なし,10
UPS,United Parcel Service,114.8,60.0,2.23,2.237,判定なし,0
NEE,NextEra Energy,89.8,63.3,0.5,0.33,判定なし,20
RTX,RTX Corp,212.8,65.6,4.625,3.554,ボックス上限タッチ（天井候補）,20
IBM,IBM,214.2,18.9,-17.276,-10.847,判定なし,20
INTC,Intel,92.3,26.9,-5.744,-3.981,判定なし,20
AMD,Advanced Micro Devices,522.0,44.1,7.024,9.887,判定なし,0
NFLX,Netflix,70.1,28.9,-2.692,-2.615,判定なし,20
QCOM,Qualcomm,167.0,30.0,-8.52,-7.916,判定なし,20
SBUX,Starbucks,103.2,53.4,0.604,1.01,25MAタッチ（反発候補）,30
AMAT,Applied Materials,536.2,40.2,-2.719,6.919,判定なし,0
LOW,Lowe's,207.6,34.5,-3.607,-2.938,判定なし,10
CAT,Caterpillar,888.7,29.6,-16.089,-8.29,判定なし,20
BLK,BlackRock,1055.7,58.7,10.394,7.642,判定なし,20
GE,General Electric,353.7,33.9,0.731,3.623,判定なし,10
HON,Honeywell,243.1,61.8,1.374,-0.941,判定なし,20
BA,Boeing,209.5,18.5,-3.453,-2.185,判定なし,20
MDT,Medtronic,83.2,50.5,0.774,0.839,判定なし,0
SPGI,S&P Global,426.4,38.7,7.881,10.388,判定なし,10
GS,Goldman Sachs,1061.2,50.9,11.715,14.138,25MAタッチ（反発候補）,30
PLD,Prologis,147.6,62.7,1.473,1.028,判定なし,20
ADBE,Adobe,225.1,54.5,0.515,0.075,判定なし,20
NOW,ServiceNow,98.8,38.7,-1.358,-0.152,判定なし,10
BKNG,Booking Holdings,177.5,45.8,1.351,2.227,25MAタッチ（反発候補）,30
ISRG,Intuitive Surgical,337.5,21.6,-20.411,-13.802,判定なし,20
LMT,Lockheed Martin,582.6,68.9,6.095,0.078,ボックス上限タッチ（天井候補）,20
EL,Estee Lauder,80.3,34.2,-0.575,-0.419,判定なし,10
MO,Altria,73.0,54.5,0.489,0.521,判定なし,0
DE,Deere,628.2,47.1,4.754,3.67,判定なし,20
C,Citigroup,132.2,30.9,-1.541,-0.579,判定なし,10
T,AT&T,24.1,88.1,0.162,-0.232,ボックス上限タッチ（天井候補）,20
VZ,Verizon,46.4,82.1,-0.014,-0.477,ボックス上限タッチ（天井候補）,20
FDX,FedEx,315.0,55.0,-1.236,-1.677,25MAタッチ（反発候補）,50
SO,Southern Company,97.2,54.6,0.421,0.427,判定なし,0
DUK,Duke Energy,130.5,62.8,0.783,0.449,ボックス上限タッチ（天井候補）,20
AEP,American Electric Power,135.5,48.8,0.341,0.557,25MAタッチ（反発候補）,30
REGN,Regeneron,656.0,52.6,6.116,6.999,判定なし,0
GILD,Gilead Sciences,129.3,49.5,0.673,0.976,25MAタッチ（反発候補）,30
VRTX,Vertex Pharmaceuticals,477.4,19.0,2.256,6.235,判定なし,20
CSX,CSX Corp,53.2,77.6,1.291,1.035,ボックス上限タッチ（天井候補）,20
NSC,Norfolk Southern,350.7,75.8,8.084,6.157,判定なし,20
BDX,Becton Dickinson,156.4,51.3,1.548,1.7,判定なし,0
CL,Colgate-Palmolive,90.8,44.6,0.289,0.627,25MAタッチ（反発候補）,30
MNST,Monster Beverage,93.5,38.9,0.702,1.515,ボックス下限タッチ（底候補）,40
KDP,Keurig Dr Pepper,29.7,33.4,-0.28,-0.019,ボックス下限タッチ（底候補）,40
WM,Waste Management,238.8,60.4,4.214,4.213,判定なし,20
ADP,Automatic Data Processing,250.1,59.5,6.181,6.79,判定なし,0
ORCL,Oracle,115.0,26.7,-14.206,-14.239,ボックス下限タッチ（底候補）,70
CRM,Salesforce,163.7,48.3,-0.776,-0.679,25MAタッチ（反発候補）,30
PANW,Palo Alto Networks,323.8,37.5,12.111,17.335,判定なし,10
FTNT,Fortinet,152.4,39.1,3.09,5.244,判定なし,10
HCA,HCA Healthcare,382.2,35.1,-5.332,-3.898,判定なし,10
LRCX,Lam Research,305.2,36.2,-10.32,-5.02,判定なし,10
MU,Micron Technology,921.0,44.4,-12.037,-5.657,判定なし,0
ZTS,Zoetis,75.3,52.1,-1.015,-1.443,25MAタッチ（反発候補）,50
MAR,Marriott,374.4,45.6,-2.701,-2.721,25MAタッチ（反発候補）,50
ETN,Eaton,404.1,45.1,0.081,0.069,判定なし,20
EMR,Emerson Electric,147.9,60.8,0.315,-0.616,ボックス上限タッチ（天井候補）,20
ROST,Ross Stores,238.9,79.9,3.463,1.41,ボックス上限タッチ（天井候補）,20
TJX,TJX Companies,154.2,58.5,-0.907,-1.31,25MAタッチ（反発候補）,50
